instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿phi.pa.0001,﻿cathedral,﻿Cathedral of St. Peter and St. Paul,English,"﻿Confessions heard in German, French, Italian, and Irish. Residence address: North Eighteenth street, adjoining the Cathedral","﻿Eighteenth street, opposite Logan Square",,,,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.95765346,-75.16859767,,,,﻿jam_f_wood_001,﻿Rt. Rev.,﻿James Frederic Wood,﻿D.D.,﻿Bishop,,,,,,1870,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0001,﻿cathedral,﻿Cathedral of St. Peter and St. Paul,English,"﻿Confessions heard in German, French, Italian, and Irish. Residence address: North Eighteenth street, adjoining the Cathedral","﻿Eighteenth street, opposite Logan Square",,,,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.95765346,-75.16859767,,,,﻿aug_j_mcconomy_001,﻿Rev.,﻿Augustin J. McConomy,,﻿Chancellor and Secretary,,,,,,1870,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0001,﻿cathedral,﻿Cathedral of St. Peter and St. Paul,English,"﻿Confessions heard in German, French, Italian, and Irish. Residence address: North Eighteenth street, adjoining the Cathedral","﻿Eighteenth street, opposite Logan Square",,,,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.95765346,-75.16859767,,,,﻿joh_j_elcock_001,﻿Rev.,﻿John J. Elcock,,,,,,,,1870,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0001,﻿cathedral,﻿Cathedral of St. Peter and St. Paul,English,"﻿Confessions heard in German, French, Italian, and Irish. Residence address: North Eighteenth street, adjoining the Cathedral","﻿Eighteenth street, opposite Logan Square",,,,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.95765346,-75.16859767,,,,﻿jos_bridgman_001,﻿Rev.,﻿Joseph Bridgman,,,,,,,,1870,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0001,﻿cathedral,﻿Cathedral of St. Peter and St. Paul,English,"﻿Confessions heard in German, French, Italian, and Irish. Residence address: North Eighteenth street, adjoining the Cathedral","﻿Eighteenth street, opposite Logan Square",,,,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.95765346,-75.16859767,,,,﻿fra_p_oneill_001,﻿Rev.,﻿Francis P. O'Neill,,,,,,,,1870,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0001,﻿cathedral,﻿Cathedral of St. Peter and St. Paul,English,"﻿Confessions heard in German, French, Italian, and Irish. Residence address: North Eighteenth street, adjoining the Cathedral","﻿Eighteenth street, opposite Logan Square",,,,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.95765346,-75.16859767,,,,﻿dan_oconnor_001,﻿Rev.,﻿Daniel O'Connor,,,,,,,,1870,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0001_02,﻿chapel,﻿Cathedral Chapel,English,,﻿Summer street,,,,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.95904862,-75.17614039,﻿phi.pa.0001,﻿Attended by the Rev. Clergy of the Cathedral,,,,,,,,,,,,1870,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0003,﻿chapel,﻿Chapel of the Christian Brothers,English,,﻿corner of Filbert and Juniper streets,,,,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.95328111,-75.16218186,﻿phi.pa.0001,﻿Attended from the Cathedral,,,,,,,,,,,,1870,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John the Evangelist,English,﻿Mass is said in the basement on Sundays and holidays for the children,"﻿Thirteenth street, above Chestnut",,,,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.95121704,-75.16141333,,,,﻿joh_p_dunn_001,﻿Rev.,﻿John Patrick Dunn,,﻿Pastor,,,,,,1870,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John the Evangelist,English,﻿Mass is said in the basement on Sundays and holidays for the children,"﻿Thirteenth street, above Chestnut",,,,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.95121704,-75.16141333,,,,﻿pat_r_oreilly_001,﻿Rev.,﻿Patrick R. O'Reilly,,,,,,,,1870,﻿,﻿,﻿Philadelphia,Philadelphia
