instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cov.ky.0015,﻿church,﻿St. John the Evangelist,English,﻿brick church,,,﻿Carroll County,,﻿Carrollton,﻿Carrollton,﻿KY,,38.6763441,-85.1791896,,,,﻿joh_stephany_001,﻿Rev.,﻿John Stephany,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0016,﻿church,not recorded,English,,﻿K.C.R.R.,,﻿Canton County,﻿Kenton County,﻿Culberton's Station,,﻿KY,,38.93509011,-84.49722856,﻿cov.ky.0001,﻿attended from Cathedral,﻿once a month,,,,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0017,﻿church,not recorded,English,,,,﻿Harrison County,,﻿Cynthania,﻿Cynthania,﻿KY,,38.3903526,-84.2941013,﻿cov.ky.0097,﻿attended from Paris,﻿every second Sunday,,,,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0018,﻿church,﻿St. Francis Xavier,English,﻿brick church,,,﻿Pendleton County,,﻿Falmouth,﻿Falmouth,﻿KY,,38.6767372,-84.3302142,﻿cov.ky.0001,﻿attended from Cathedral,﻿twice a month,﻿j_smith_001,﻿Rev.,﻿J. Smith,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0019,﻿church,not recorded,English,,,,﻿Fleming County,,﻿Flemingsburgh,﻿Flemingsburg,﻿KY,,38.4222995,-83.7338076,,﻿attended by Rev. John Hickey,﻿twice a month,,,,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0020,﻿church,not recorded,English,,,,﻿Boone County,,﻿Florence,﻿Florence,﻿KY,,38.9989499,-84.6266111,﻿cov.ky.0001,﻿attended from Cathedral,﻿third Sunday,,,,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0021,﻿church,not recorded,English,,,,﻿,,﻿Foster's Landing,﻿Foster's Landing,﻿KY,,,,﻿cov.ky.0093,﻿attended from Twelve Mile,,,,,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0022,﻿church,﻿Church of St. Joseph,English,"﻿residence, school-house, etc.",,,﻿Campbell County,,﻿Four Mile,﻿Four Mile,﻿KY,,38.8951891,-84.3962535,,,,﻿ostlangenberg_001,﻿Rev. Mr.,﻿Ostlangenberg,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0023,﻿church,﻿Church of the Good Shepherd,English,"﻿with residence, etc.",,,﻿Franklin County,,﻿Frankfort,﻿Frankfort,﻿KY,,38.2009055,-84.8732835,,,,﻿lam_young_001,﻿Rev.,﻿Lambert Young,,﻿pastor,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0024,﻿church,﻿St. John's,English,﻿brick church,,,﻿Scott County,,﻿Georgetown,﻿Georgetown,﻿KY,,38.2228104,-84.5675837,,﻿attended by Rev. J. Bowe,,,,,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0025,﻿church,not recorded,English,,,,﻿Carroll County,,﻿Ghent,﻿Ghent,﻿KY,,38.7375625,-85.0582835,﻿cov.ky.0015,﻿attended from Carrollton,﻿occasionally,,,,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0026,﻿church,not recorded,English,,,,﻿Kenton County,,﻿Independence,﻿Independence,﻿KY,,38.9431183,-84.544109,﻿cov.ky.0001,﻿attended from the Cathedral,,,,,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0027,﻿church,﻿St. Francis of Assisium,English,"﻿brick church, pastoral residence, and school-house",,,﻿,,,,﻿KY,,,,,,,﻿fra_grome_001,﻿Rev.,﻿Francis Grome,,﻿pastor,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0028,﻿church,﻿St. Peter's Church,English,﻿residence and boys' academy,,,﻿Fayette County,,﻿Lexington,﻿Lexington,﻿KY,,38.0469186,-84.4945282,,,,﻿i_h_bekkars_001,﻿Rev.,﻿I. H. Bekkars,,﻿pastor,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0028,﻿church,﻿St. Peter's Church,English,﻿residence and boys' academy,,,﻿Fayette County,,﻿Lexington,﻿Lexington,﻿KY,,38.0469186,-84.4945282,,,,﻿l_d_willie_001,﻿Rev.,﻿L. D. Willie,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0029,﻿church,not recorded,English,,,,﻿Mason County,,﻿Mayslick,﻿Mays Lick,﻿KY,,38.5175757,-83.8418665,,,,﻿joh_hickey_001,﻿Rev.,﻿John Hickey,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0030,﻿church,﻿St. Patrick's Church,English,,,,﻿Mason County,,﻿Maysville,﻿Maysville,﻿KY,,38.6451148,-83.7634277,,,,﻿joh_b_glorieux_001,﻿Rev.,﻿John B. Glorieux,,﻿pastor,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0031,﻿church,not recorded,English,,,,﻿Bracken County,,﻿Milford,﻿Milford,﻿KY,,38.5817399,-84.1565983,﻿cov.ky.0009,﻿attended from Augusta,,,,,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0032,﻿church,not recorded,English,﻿residence,,,﻿Montgomery County,,﻿Mt. Sterling,﻿Mount Sterling,﻿KY,,38.0564679,-83.9432556,,﻿attended by Rev. J. Vandeville,,,,,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
﻿cov.ky.0033,﻿church,not recorded,English,,,,﻿Mason County,,﻿Minerva,﻿Minerva,﻿KY,,38.7053502,-83.9190929,,,,﻿jam_mcnerney_001,﻿Rev.,﻿J. McNerney,,,,,,,,1870,﻿,﻿,﻿Covington,Covington
