instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿chi.il.0001,﻿cathedral,﻿Cathedral of the Holy Name,English,﻿Residence at 148 Cass street,﻿Corner of N. State and Superior streets,,,,﻿Chicago,﻿Chicago,﻿IL,,41.89600177,-87.62763549,,,,﻿jos_h_doyle_001,﻿Rev.,﻿Jos. H. Doyle,,﻿Administrator,,,,,,1870,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0001,﻿cathedral,﻿Cathedral of the Holy Name,English,﻿Residence at 148 Cass street,﻿Corner of N. State and Superior streets,,,,﻿Chicago,﻿Chicago,﻿IL,,41.89600177,-87.62763549,,,,﻿m_stack_001,﻿Rev.,﻿M. Stack,,﻿Assistant,,,,,,1870,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0002,﻿church,﻿St. Mary's,English,"﻿Residence, Bishop's house",﻿Corner of Madison street and Wabash avenue,,,,﻿Chicago,﻿Chicago,﻿IL,,41.8819264,-87.62655323,,,,﻿tho_halligan_001,﻿Rev.,﻿Thomas Halligan,,,,,,,,1870,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0002,﻿church,﻿St. Mary's,English,"﻿Residence, Bishop's house",﻿Corner of Madison street and Wabash avenue,,,,﻿Chicago,﻿Chicago,﻿IL,,41.8819264,-87.62655323,,,,﻿f_murtagh_001,﻿Rev.,﻿F. Murtagh,,,,,,,,1870,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0002,﻿church,﻿St. Mary's,English,"﻿Residence, Bishop's house",﻿Corner of Madison street and Wabash avenue,,,,﻿Chicago,﻿Chicago,﻿IL,,41.8819264,-87.62655323,,,,﻿ed_gavin_001,﻿Rev.,﻿Ed. Gavin,,,,,,,,1870,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0003,﻿church,﻿St. Patrick's,English,"﻿Residence, adjoining church","﻿Desplain street, corner of Adams",,,,﻿Chicago,﻿Chicago,﻿IL,,41.87951815,-87.64453189,,,,﻿t_o_gard_001,﻿Rev.,﻿T. O. Gard,,,,,,,,1870,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0003,﻿church,﻿St. Patrick's,English,"﻿Residence, adjoining church","﻿Desplain street, corner of Adams",,,,﻿Chicago,﻿Chicago,﻿IL,,41.87951815,-87.64453189,,,,﻿p_flannigan_001,﻿Rev.,﻿P. Flannigan,,﻿Assistant,,,,,,1870,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0004,﻿church,﻿Church of the Holy Family,English,"﻿Residence, adjoining church",﻿Corner of Twelfth and May streets,,,,﻿Chicago,﻿Chicago,﻿IL,,41.86719614,-87.65472456,,,,﻿arn_damen_001,﻿Very Rev.,﻿Arnold Damen,﻿S.J.,﻿Superior,,,,,,1870,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0004,﻿church,﻿Church of the Holy Family,English,"﻿Residence, adjoining church",﻿Corner of Twelfth and May streets,,,,﻿Chicago,﻿Chicago,﻿IL,,41.86719614,-87.65472456,,,,﻿c_f_smarius_001,﻿Rev.,﻿C. F. Smarius,﻿S.J.,,,,,,,1870,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0004,﻿church,﻿Church of the Holy Family,English,"﻿Residence, adjoining church",﻿Corner of Twelfth and May streets,,,,﻿Chicago,﻿Chicago,﻿IL,,41.86719614,-87.65472456,,,,﻿joh_schultz_001,﻿Rev.,﻿John Schultz,﻿S.J.,,,,,,,1870,﻿,﻿,﻿Chicago,Chicago
