instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cha.sc.0001,﻿cathedral,﻿Finbar's Cathedral,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.776496,-79.934468,,,,﻿p_n_lynch_001,﻿Rt. Rev.,﻿P. N. Lynch,﻿D.D.,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Finbar's Cathedral,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.776496,-79.934468,,,,﻿t_j_sullivan_001,﻿Rev.,﻿T. J. Sullivan,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Finbar's Cathedral,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.776496,-79.934468,,,,﻿jam_a_corcoran_001,﻿Rev.,﻿J. A. Corcoran,﻿D.D.,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Finbar's Cathedral,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.776496,-79.934468,,,,﻿l_fillion_001,﻿Rev.,﻿L. Fillion,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Finbar's Cathedral,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.776496,-79.934468,,,,﻿fel_j_carr_001,﻿Rev.,﻿Felix J. Carr,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.7818,-79.932825,,,,﻿ric_s_baker_001,﻿Rev.,﻿R. S. Baker,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.7818,-79.932825,,,,﻿p_ryan_001,﻿Rev.,﻿P. Bryan,﻿D.D.,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.788225,-79.940392,,,,﻿p_oneill_002,﻿Rev.,﻿P. O'Neill,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0049,﻿church,not recorded,English,,,,,,﻿Abbeville,﻿Abbeville,﻿SC,,34.17763527,-82.38039933,﻿sav.ga.0003,"﻿Attended from Augusta, Ga.",,,,,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0044,﻿church,﻿St. Andrew's,English,,,,,,﻿Barnwell,﻿Barnwell,﻿SC,,33.239849,-81.359976,,,,﻿t_bermingham_001,﻿Rev.,﻿T. Bermingham,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0023,﻿church,﻿St. Peter's,English,,,,,,﻿Beaufort,﻿Beaufort,﻿SC,,32.439429,-80.670543,﻿cha.sc.0001,﻿Attended from the Cathedral,,,,,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0050,﻿church,not recorded,English,,,,,,﻿Camden,,﻿SC,,34.24499751,-80.61164573,﻿cha.sc.0025,"﻿Attended from Columbia, S.C.",,﻿aug_f_mcneal_001,﻿Rev.,﻿Aug. McNeall,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0035,﻿church,﻿St. Peter's,English,,,,,,﻿Cheraw,﻿Cheraw,﻿SC,,34.693371,-79.89188,,,,﻿joh_cullinane_001,﻿Rev.,﻿J. Cullinan,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0051,﻿church,not recorded,English,,,,,,﻿Chester,﻿Chester,﻿SC,,34.70460999,-81.21243807,,,,﻿aug_f_mcneal_001,﻿Rev.,﻿Aug. McNeall,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,﻿St. Joseph's,English,,,,,,﻿Columbia,﻿Columbia,﻿SC,,34.005607,-81.038007,,,,﻿j_j_oconnell_001,﻿Rev.,﻿J. J. O'Connell,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,﻿St. Joseph's,English,,,,,,﻿Columbia,﻿Columbia,﻿SC,,34.005607,-81.038007,,,,,,﻿L. J. O'Connell,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,﻿St. Joseph's,English,,,,,,﻿Columbia,﻿Columbia,﻿SC,,34.005607,-81.038007,,,,﻿j_p_oconnell_001,,﻿Joseph P. O'Connell,﻿D.D.,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0021,﻿church,not recorded,English,,,,,,﻿Edgefield,﻿Edgefield,﻿SC,,33.790431,-81.930357,,,,﻿tim_bermingham_001,﻿Rev.,﻿Timothy Bermingham,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0052,﻿church,not recorded,English,,,,,,﻿Fort Johnson,,﻿SC,,32.75575594,-79.89731276,﻿cha.sc.0001,﻿Attended from the Cathedral,,﻿har_p_northrop_001,﻿Rev.,﻿H. P. Northrop,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0046,﻿church,not recorded,English,,,,,,﻿Greenville,﻿Greenville,﻿SC,,34.856594,-82.401936,﻿cha.sc.0025,﻿Attended from Columbia,,,,,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0053,﻿church,not recorded,English,,,,,,﻿Graniteville,,﻿SC,,33.56218422,-81.81058695,,,,﻿tim_bermingham_001,﻿Rev.,﻿T. Bermingham,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0054,﻿church,not recorded,English,,,,,,﻿Hutchinson's Island,,﻿SC,,32.52953114,-80.45233455,﻿cha.sc.0001,﻿Attended from Charleston,,,,,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0055,﻿church,not recorded,English,,,,,,﻿Lancaster,﻿Lancaster,﻿SC,,34.72085097,-80.77340709,﻿cha.sc.0051,﻿attended from Chester,,,,,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0007,﻿church,﻿St. John Baptist,English,,﻿Moultrieville,,,,﻿Sullivan's Island,﻿Sullivan's Island,﻿SC,,32.760733,-79.858492,,,,﻿jam_a_corcoran_001,﻿Rev.,﻿J. A. Corcoran,﻿D.D.,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0045,﻿church,not recorded,English,,,,,,﻿Newberry,﻿Newberry,﻿SC,,34.279127,-81.619127,﻿cha.sc.0025,﻿Attended from Columbia,,,,,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0056,﻿church,not recorded,English,,,,,,﻿Orangeburgh,﻿Orangeburg,﻿SC,,33.49295739,-80.85993212,,,,﻿tim_bermingham_001,﻿Rev.,﻿T. Bermingham,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0057,﻿church,not recorded,English,,,,,,﻿Ridgeville,﻿Ridgeville,﻿SC,,33.09638915,-80.31547027,﻿cha.sc.0001,"﻿Attended from Charleston, S.C.",,,,,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0058,﻿church,not recorded,English,,,,,,﻿Summerville,﻿Summerville,﻿SC,,33.02088965,-80.18267286,﻿cha.sc.0001,"﻿Attended from Charleston, S.C.",,,,,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0059,﻿church,﻿St. Lawrence,English,,,,,,﻿Sumterville,﻿Sumter,﻿SC,,33.92137862,-80.34392274,﻿cha.sc.0025,﻿Attended from Columbia,,,,,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0071,﻿church,not recorded,English,,,,,,﻿Unionville,﻿Union,﻿SC,,34.7157058,-81.6268158,﻿cha.sc.0051,﻿Attended from Chester,,,,,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0072,﻿church,not recorded,English,,,,,,﻿Vancluse,﻿Vancluse,﻿SC,,33.61320663,-81.80961836,,,,﻿tim_bermingham_001,﻿Rev.,﻿T. Bermingham,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0060,﻿church,﻿St. Philip's,English,,,,,,﻿Walterboro,﻿Walterboro,﻿SC,,32.904167,-80.666111,,,,﻿f_j_carr_001,﻿Rev.,﻿F. J. Carr,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0073,﻿church,not recorded,English,,,,,,﻿Winnsboro,,﻿SC,,34.38056331,-81.08576541,﻿cha.sc.0025,﻿attended from Columbia,,,,,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0074,﻿church,not recorded,English,,,,,,﻿Yorkville,,﻿SC,,34.99355653,-81.24177701,﻿cha.sc.0025,﻿attended from Columbia,,,,,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0011,﻿church,﻿St. Peter's,English,,,,﻿Mecklenburg County,﻿Mecklenburg County,﻿Charlotte,﻿Charlotte,﻿NC,,35.167851,-80.728246,,,,﻿aug_f_mcneal_001,﻿Rev.,﻿Aug. F. McNeall,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0061,﻿church,not recorded,English,,,,,,﻿Concord,,﻿NC,,35.41153311,-80.59206693,﻿ral.nc.0011,﻿attended from Charlotte,,,,,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0062,﻿church,not recorded,English,,,,﻿Chatham County,,﻿Coalmines,,﻿NC,,35.78532956,-79.17543581,,,,﻿tho_quigley_001,﻿Rev.,﻿Thomas Quigley,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0005,﻿church,not recorded,English,,,,﻿Chowan County,﻿Chowan County,﻿Edenton,﻿Edenton,﻿NC,,36.062787,-76.608034,,,,﻿cha_j_croghan_001,﻿Rev.,﻿Charles J. Croghan,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0002,﻿church,﻿St. Patrick's,English,,,,﻿Cumberland County,﻿Cumberland County,﻿Fayetteville,﻿Fayetteville,﻿NC,,35.052367,-78.878377,,,,﻿tho_quigley_001,﻿Rev.,﻿Thomas Quigley,,,,,,,,1865,﻿,﻿,﻿Charleston,Charleston
