instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿nat.la.0001,﻿cathedral,﻿Cathedral Church of the Immaculate Conception,English,,,,,,﻿Natchitoches,﻿Natchitoches,﻿LA,,31.761178,-93.087479,,,,﻿aug_m_martin_001,﻿Rt. Rev.,﻿Aug. M. Martin,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0001,﻿cathedral,﻿Cathedral Church of the Immaculate Conception,English,,,,,,﻿Natchitoches,﻿Natchitoches,﻿LA,,31.761178,-93.087479,,,,﻿p_f_dicharry_001,﻿Very Rev.,﻿P. F. Dicharry,﻿S.T.D.,,,,,,,1869,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0001,﻿cathedral,﻿Cathedral Church of the Immaculate Conception,English,,,,,,﻿Natchitoches,﻿Natchitoches,﻿LA,,31.761178,-93.087479,,,,﻿f_martin_001,﻿Rev.,﻿F. Martin,,﻿Rector,,,,,,1869,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0001,﻿cathedral,﻿Cathedral Church of the Immaculate Conception,English,,,,,,﻿Natchitoches,﻿Natchitoches,﻿LA,,31.761178,-93.087479,,,,﻿f_le-vézouët_001,﻿Rev.,﻿F. Le Vézouët,,﻿Director of the Propagation of the Faith,,,,,,1869,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0001,﻿cathedral,﻿Cathedral Church of the Immaculate Conception,English,,,,,,﻿Natchitoches,﻿Natchitoches,﻿LA,,31.761178,-93.087479,,,,﻿e_chauvin_001,﻿Rev.,﻿Chauvin,,,,,,,,1869,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0001,﻿cathedral,﻿Cathedral Church of the Immaculate Conception,English,,,,,,﻿Natchitoches,﻿Natchitoches,﻿LA,,31.761178,-93.087479,,,,﻿mesler_001,﻿Rev.,﻿Mesler,,,,,,,,1869,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0002,﻿church,﻿Church of the Nativity,English,,,,﻿Natchitoches Parish,,﻿Camte,﻿Campti,﻿LA,,31.893104,-93.122501,,,,﻿e_dupré_001,﻿Rev.,﻿E. Dupré,,,,,,,,1869,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0008,﻿church,﻿Church of St. John the Baptist,English,,,,﻿Natchitoches Parish,,﻿Cloutierville,﻿Cloutierville,﻿LA,,31.546188,-92.915572,,,,﻿j_m_beaulieu_001,﻿Rev.,﻿J. M. Beaulieu,,,,,,,,1869,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0011,﻿church,﻿Church of St. Augustine,English,,,,﻿Natchitoches Parish,,﻿Ile Brevelle,﻿Natchez,﻿LA,,31.593824,-92.972941,,,,﻿l_gallop_001,﻿Rev.,﻿L. Gallop,,,,,,,,1869,﻿,﻿,﻿Natchitoches,Natchitoches
﻿nat.la.0003,"﻿church, station",﻿Church of St. Rose,English,,,,,,﻿Ile-au-Tigre,﻿Morgan City,﻿LA,,29.74368617,-92.38631062,,,,﻿e_forge_001,﻿Rev.,﻿E. Forge,,,,,,,,1869,﻿,﻿,﻿Natchitoches,Natchitoches
